date,store_id,sku_id,opening_stock,closing_stock,stock_out_flag
2024-01-01,1,2209,218,92,0
2024-01-01,1,99,452,260,0
2024-01-01,1,4818,464,202,0
2024-01-01,1,459,458,8,0
2024-01-01,1,1290,275,278,0
2024-01-01,1,1484,435,315,0
2024-01-01,1,2485,344,281,0
2024-01-01,1,2928,418,444,0
2024-01-01,1,1628,472,205,0
2024-01-01,1,445,244,334,0
2024-01-01,1,704,114,90,0
2024-01-01,1,702,378,176,0
2024-01-01,1,4540,120,370,0
2024-01-01,1,3121,326,36,0
2024-01-01,1,4574,384,415,0
2024-01-01,1,3360,364,235,0
2024-01-01,1,252,201,406,0
2024-01-01,1,1150,467,394,0
2024-01-01,1,4704,191,66,1
2024-01-01,1,2675,362,53,0
2024-01-01,1,4095,344,139,0
2024-01-01,1,2407,122,114,0
2024-01-01,1,2114,100,21,0
2024-01-01,1,1547,405,259,0
2024-01-01,1,2632,25,331,0
2024-01-01,1,1597,207,87,0
2024-01-01,1,1125,421,170,0
2024-01-01,1,3321,172,235,0
2024-01-01,1,1535,24,429,0
2024-01-01,1,508,450,380,0
2024-01-01,1,2951,269,385,0
2024-01-01,1,212,320,354,0
2024-01-01,1,1711,275,131,0
2024-01-01,1,1012,325,150,0
2024-01-01,1,2966,153,258,0
2024-01-01,1,229,36,199,0
2024-01-01,1,2033,355,52,0
2024-01-01,1,601,289,279,0
2024-01-01,1,4613,257,402,0
2024-01-01,1,4170,162,371,0
2024-01-01,1,40,246,82,0
2024-01-01,1,321,351,18,0
2024-01-01,1,1130,102,207,0
2024-01-01,1,2100,29,257,0
2024-01-01,1,2368,70,203,0
2024-01-01,1,3012,447,35,0
2024-01-01,1,3408,190,420,0
2024-01-01,1,4527,36,253,0
2024-01-01,1,2960,80,351,0
2024-01-01,1,435,244,48,0
2024-02-01,1,953,278,157,0
2024-02-01,1,2413,19,254,0
2024-02-01,1,4676,56,90,0
2024-02-01,1,3957,15,29,0
2024-02-01,1,3659,493,122,0
2024-02-01,1,1959,325,53,0
2024-02-01,1,4351,64,351,0
2024-02-01,1,4768,202,155,0
2024-02-01,1,4119,259,267,0
2024-02-01,1,2471,448,304,0
2024-02-01,1,2341,209,292,0
2024-02-01,1,931,50,244,0
2024-02-01,1,3545,405,152,0
2024-02-01,1,4663,292,257,0
2024-02-01,1,4584,118,392,0
2024-02-01,1,4505,74,34,0
2024-02-01,1,1115,461,270,0
2024-02-01,1,91,262,29,0
2024-02-01,1,4754,107,241,0
2024-02-01,1,3309,243,34,0
