sku_id,product_name,category,cost_price,mrp,stock_level
1,Product-1,Sports,3419.841727977992,12345.501756170841,438
2,Product-2,Home,4825.086704338474,1323.8570744087338,861
3,Product-3,Beauty,4907.2175484982945,10450.47817981631,516
4,Product-4,Beauty,3082.0708672140977,10390.678535607112,89
5,Product-5,Beauty,2891.6694622478794,1657.4808333650485,880
6,Product-6,Home,958.6320454696761,3098.4992101237913,141
7,Product-7,Sports,3097.121547003093,5496.56767184282,879
8,Product-8,Home,983.0842759585914,4621.820851185537,227
9,Product-9,Sports,522.9126911661647,7459.129037963877,887
10,Product-10,Electronics,1344.289548476073,9340.915048222158,451
11,Product-11,Sports,4038.7583211036113,8075.79217360092,223
12,Product-12,Home,4605.855305364301,4661.92884182549,588
13,Product-13,Sports,3445.9349780941907,7301.386298648746,382
14,Product-14,Apparel,664.7721453051308,12546.950120873436,866
15,Product-15,Apparel,2980.691853377654,6782.119834242822,520
16,Product-16,Home,2071.251364425043,6304.112186728363,663
17,Product-17,Beauty,4196.401451793541,10829.933186832428,649
18,Product-18,Apparel,530.1268267182012,9207.42468125289,904
19,Product-19,Sports,3800.622152817311,12145.158575616279,459
20,Product-20,Electronics,3446.5976129293613,5645.79559711819,692
21,Product-21,Electronics,4252.780429375486,12055.931630817808,147
22,Product-22,Beauty,992.483313526646,13294.801072542796,804
23,Product-23,Sports,3243.31087438795,7143.0878461958255,143
24,Product-24,Home,1129.8586885951913,7504.836237869875,902
25,Product-25,Sports,3106.8028764843,14822.545444703139,366
26,Product-26,Home,825.4698627926974,1512.2228334584588,577
27,Product-27,Apparel,2989.342252617372,6387.952489460106,134
28,Product-28,Apparel,1137.2619892903735,1325.6863793281336,543
29,Product-29,Electronics,3223.910325009698,10370.865408821803,489
30,Product-30,Home,2048.4403709388507,2081.3463715813723,681
31,Product-31,Beauty,2233.3407660823523,10823.569517217122,880
32,Product-32,Apparel,3832.391733648888,3731.7102795684877,434
33,Product-33,Beauty,756.8836595125397,9687.497100214861,833
34,Product-34,Electronics,627.0109002078669,12829.23685451619,328
35,Product-35,Beauty,4556.097511228149,14441.496496187703,277
