order_id,customer_id,customer_name,region,category,product,order_date,quantity,price,revenue
1,6734,Customer_122,East,Office Supplies,Pen,2023-08-03,8,720.4,5763.2
2,9322,Customer_150,North,Office Supplies,Binder,2023-09-15,8,403.78,3230.24
3,7420,Customer_161,West,Furniture,Chair,2023-11-10,2,222.28,444.56
4,3558,Customer_170,West,Furniture,Desk,2023-07-07,9,353.02,3177.18
5,2528,Customer_131,North,Office Supplies,Binder,2023-11-03,7,1179.96,8259.72
6,9792,Customer_60,South,Office Supplies,Stapler,2023-08-30,9,82.74,744.66
7,7235,Customer_111,West,Furniture,Desk,2023-09-21,5,280.92,1404.6
8,4943,Customer_132,South,Office Supplies,Binder,2023-02-23,1,314.24,314.24
9,7873,Customer_44,South,Furniture,Cabinet,2023-07-21,6,42.42,254.52
10,2016,Customer_190,West,Furniture,Cabinet,2023-08-01,8,686.68,5493.44
11,5859,Customer_188,West,Technology,Monitor,2023-02-10,5,706.17,3530.85
12,3568,Customer_88,North,Technology,Tablet,2023-05-16,1,23.69,23.69
13,6892,Customer_41,West,Office Supplies,Binder,2023-05-15,3,849.69,2549.07
14,3454,Customer_62,West,Technology,Keyboard,2023-10-20,2,119.02,238.04
15,6056,Customer_101,East,Office Supplies,Pen,2023-05-11,8,333.29,2666.32
16,7938,Customer_137,East,Technology,Tablet,2023-01-15,7,926.31,6484.17
17,3790,Customer_52,North,Furniture,Chair,2023-04-06,3,42.56,127.68
18,2678,Customer_171,North,Furniture,Desk,2023-02-05,7,727.28,5090.96
19,3693,Customer_28,West,Technology,Mouse,2023-04-18,3,197.66,592.98
20,8392,Customer_129,North,Furniture,Chair,2023-10-10,7,1075.83,7530.81
21,8526,Customer_198,West,Furniture,Desk,2023-05-17,4,426.32,1705.28
22,1663,Customer_59,South,Furniture,Desk,2023-06-09,1,148.24,148.24
23,7585,Customer_52,West,Technology,Keyboard,2023-10-22,1,82.55,82.55
24,1698,Customer_113,South,Furniture,Bookcase,2023-05-10,1,181.96,181.96
25,7528,Customer_147,South,Furniture,Bookcase,2023-05-10,5,417.36,2086.8
26,5931,Customer_183,East,Technology,Keyboard,2023-07-03,6,294.26,1765.56
27,3931,Customer_98,South,Office Supplies,Paper,2023-08-28,6,444.5,2667.0
28,1659,Customer_187,West,Technology,Laptop,2023-12-12,6,836.5,5019.0
29,2843,Customer_161,West,Office Supplies,Binder,2023-05-08,4,775.98,3103.92
30,9155,Customer_185,North,Office Supplies,Envelope,2023-05-31,8,169.34,1354.72
31,7287,Customer_90,West,Office Supplies,Envelope,2023-03-01,3,278.12,834.36
32,5548,Customer_37,West,Technology,Monitor,2023-01-09,1,116.26,116.26
33,2154,Customer_148,West,Technology,Mouse,2023-02-23,3,872.52,2617.56
34,5199,Customer_84,South,Technology,Keyboard,2023-08-15,1,198.15,198.15
35,3961,Customer_128,South,Furniture,Desk,2023-12-04,3,1168.53,3505.59
36,9352,Customer_68,North,Furniture,Chair,2023-10-04,3,784.09,2352.27
37,5555,Customer_187,East,Office Supplies,Binder,2023-01-22,1,373.13,373.13
38,9754,Customer_182,West,Furniture,Chair,2023-10-10,6,1174.78,7048.68
39,8022,Customer_192,North,Office Supplies,Envelope,2023-11-13,5,605.65,3028.25
40,8679,Customer_17,West,Office Supplies,Pen,2023-08-08,3,923.42,2770.26
41,2060,Customer_24,North,Furniture,Desk,2023-10-29,5,1060.78,5303.9
42,1980,Customer_160,East,Technology,Mouse,2023-06-10,1,95.04,95.04
43,7709,Customer_58,East,Office Supplies,Envelope,2023-12-26,9,476.66,4289.94
44,2686,Customer_194,East,Furniture,Cabinet,2023-06-04,2,739.93,1479.86
45,8560,Customer_43,South,Furniture,Chair,2023-06-25,1,1019.16,1019.16
46,2841,Customer_153,West,Office Supplies,Stapler,2023-01-13,7,506.64,3546.48
47,3368,Customer_8,West,Furniture,Bookcase,2023-05-22,9,755.33,6797.97
48,1853,Customer_51,North,Office Supplies,Pen,2023-07-05,2,117.31,234.62
49,8509,Customer_49,West,Office Supplies,Stapler,2023-06-19,6,711.05,4266.3
50,4124,Customer_60,West,Furniture,Bookcase,2023-04-18,6,646.81,3880.86
51,8027,Customer_94,East,Technology,Keyboard,2023-12-21,6,66.76,400.56
52,2693,Customer_147,North,Office Supplies,Pen,2023-04-30,2,621.98,1243.96
53,9308,Customer_62,East,Office Supplies,Binder,2023-05-07,7,304.78,2133.46
54,1512,Customer_34,West,Technology,Keyboard,2023-05-06,5,74.54,372.7
55,4343,Customer_189,East,Furniture,Cabinet,2023-07-11,9,793.94,7145.46
56,9130,Customer_76,South,Office Supplies,Stapler,2023-05-24,6,877.4,5264.4
57,6188,Customer_47,North,Office Supplies,Stapler,2023-04-04,6,22.2,133.2
58,7617,Customer_176,North,Furniture,Chair,2023-02-08,4,214.52,858.08
59,3849,Customer_180,East,Technology,Tablet,2023-09-07,7,62.43,437.01
60,5611,Customer_16,West,Office Supplies,Envelope,2023-12-02,1,649.56,649.56
61,7303,Customer_84,West,Office Supplies,Envelope,2023-06-27,1,1041.3,1041.3
62,3738,Customer_171,North,Office Supplies,Pen,2023-09-25,1,552.61,552.61
63,2066,Customer_44,North,Office Supplies,Paper,2023-01-12,1,783.52,783.52
64,9967,Customer_93,South,Office Supplies,Envelope,2023-03-31,3,743.81,2231.43
65,4267,Customer_58,North,Furniture,Chair,2023-04-24,3,341.82,1025.46
66,8164,Customer_164,South,Technology,Mouse,2023-12-23,8,883.41,7067.28
67,2571,Customer_96,West,Technology,Mouse,2023-05-31,1,879.32,879.32
68,4766,Customer_13,East,Furniture,Cabinet,2023-08-05,5,290.12,1450.6
69,9787,Customer_112,North,Office Supplies,Paper,2023-12-08,1,643.52,643.52
70,1395,Customer_189,North,Technology,Mouse,2023-03-17,3,470.1,1410.3
71,6486,Customer_144,North,Technology,Keyboard,2023-03-10,4,690.26,2761.04
72,6588,Customer_53,East,Office Supplies,Pen,2023-05-24,9,666.68,6000.12
73,7541,Customer_122,North,Technology,Tablet,2023-06-12,5,595.83,2979.15
74,8241,Customer_186,West,Office Supplies,Stapler,2023-09-10,2,1162.54,2325.08
75,7938,Customer_122,South,Furniture,Bookcase,2023-01-05,8,91.95,735.6
76,2365,Customer_145,East,Technology,Tablet,2023-11-23,6,1184.03,7104.18
77,8419,Customer_159,East,Technology,Tablet,2023-12-30,4,423.51,1694.04
78,5268,Customer_141,South,Furniture,Bookcase,2023-08-08,3,137.88,413.64
79,4072,Customer_131,North,Furniture,Chair,2023-12-14,4,146.99,587.96
80,1928,Customer_166,North,Furniture,Desk,2023-05-14,1,104.06,104.06
81,6348,Customer_164,East,Furniture,Cabinet,2023-05-27,5,56.86,284.3
82,4486,Customer_1,North,Technology,Monitor,2023-02-23,9,264.09,2376.81
83,2353,Customer_16,West,Furniture,Bookcase,2023-12-24,7,59.31,415.17
84,3745,Customer_60,South,Technology,Monitor,2023-01-28,4,559.12,2236.48
85,8102,Customer_145,North,Technology,Laptop,2023-07-31,4,1183.52,4734.08
86,6713,Customer_115,West,Technology,Keyboard,2023-07-16,3,987.93,2963.79
87,9989,Customer_109,North,Office Supplies,Paper,2023-04-29,2,103.88,207.76
88,8449,Customer_63,North,Technology,Laptop,2023-12-08,2,1184.79,2369.58
89,2633,Customer_105,East,Office Supplies,Binder,2023-11-07,1,1006.8,1006.8
90,6989,Customer_3,North,Furniture,Cabinet,2023-01-23,1,643.54,643.54
91,5178,Customer_145,North,Technology,Tablet,2023-03-19,5,909.71,4548.55
92,8939,Customer_190,North,Technology,Laptop,2023-10-15,3,333.3,999.9
93,1249,Customer_162,South,Furniture,Cabinet,2023-04-28,8,31.51,252.08
94,2077,Customer_133,South,Office Supplies,Binder,2023-08-10,2,1023.36,2046.72
95,4374,Customer_151,East,Office Supplies,Paper,2023-08-17,1,165.15,165.15
96,7881,Customer_38,South,Technology,Monitor,2023-04-08,3,1084.27,3252.81
97,2331,Customer_166,North,Furniture,Chair,2023-12-01,3,1085.47,3256.41
98,5892,Customer_132,South,Furniture,Bookcase,2023-07-03,3,838.68,2516.04
99,5164,Customer_34,South,Technology,Monitor,2023-02-22,1,313.6,313.6
100,8830,Customer_183,West,Furniture,Desk,2023-04-05,3,647.03,1941.09
101,9472,Customer_195,West,Office Supplies,Pen,2023-07-14,8,837.32,6698.56
102,8570,Customer_21,North,Office Supplies,Stapler,2023-04-02,2,724.31,1448.62
103,7376,Customer_12,South,Furniture,Desk,2023-02-15,6,111.0,666.0
104,7190,Customer_121,South,Furniture,Desk,2023-08-27,9,115.29,1037.61
105,2276,Customer_180,East,Furniture,Bookcase,2023-10-30,1,335.87,335.87
106,1364,Customer_154,South,Office Supplies,Envelope,2023-07-06,7,639.86,4479.02
107,6870,Customer_18,South,Office Supplies,Binder,2023-10-21,7,616.45,4315.15
108,9905,Customer_39,North,Office Supplies,Binder,2023-09-30,9,886.2,7975.8
109,7168,Customer_68,South,Office Supplies,Envelope,2023-03-08,9,1069.18,9622.62
110,5206,Customer_34,East,Technology,Tablet,2023-09-21,2,108.87,217.74
111,3739,Customer_26,West,Technology,Keyboard,2023-08-14,3,457.63,1372.89
112,2460,Customer_150,North,Office Supplies,Binder,2023-07-17,6,728.9,4373.4
113,4517,Customer_62,South,Furniture,Bookcase,2023-04-05,4,1021.73,4086.92
114,3590,Customer_40,North,Office Supplies,Paper,2023-02-05,7,66.7,466.9
115,9195,Customer_79,South,Office Supplies,Envelope,2023-04-28,4,1163.52,4654.08
116,7316,Customer_44,North,Technology,Mouse,2023-11-22,9,863.56,7772.04
117,1224,Customer_20,North,Furniture,Chair,2023-05-20,4,513.4,2053.6
118,5234,Customer_100,North,Office Supplies,Paper,2023-09-16,6,699.58,4197.48
119,7038,Customer_138,West,Technology,Monitor,2023-01-13,8,165.63,1325.04
120,3832,Customer_9,East,Furniture,Cabinet,2023-02-07,1,170.9,170.9
121,1235,Customer_178,South,Office Supplies,Binder,2023-05-17,1,1021.62,1021.62
122,6415,Customer_64,South,Furniture,Cabinet,2023-03-01,3,84.46,253.38
123,7941,Customer_35,North,Technology,Mouse,2023-06-14,9,901.85,8116.65
124,2065,Customer_89,South,Technology,Mouse,2023-10-23,4,382.85,1531.4
125,5670,Customer_143,North,Office Supplies,Binder,2023-06-02,6,650.04,3900.24
126,4687,Customer_104,East,Technology,Laptop,2023-02-08,7,640.57,4483.99
127,6567,Customer_15,East,Office Supplies,Binder,2023-06-06,7,878.01,6146.07
128,3204,Customer_38,North,Technology,Keyboard,2023-04-07,7,689.92,4829.44
129,3243,Customer_86,South,Technology,Tablet,2023-01-10,7,176.04,1232.28
130,7028,Customer_159,East,Technology,Mouse,2023-08-16,1,127.98,127.98
131,4719,Customer_5,North,Technology,Keyboard,2023-02-16,8,605.23,4841.84
132,1793,Customer_43,East,Technology,Monitor,2023-03-10,3,834.27,2502.81
133,7166,Customer_47,South,Office Supplies,Envelope,2023-10-29,8,702.15,5617.2
134,1984,Customer_111,West,Office Supplies,Pen,2023-11-12,8,609.54,4876.32
135,4876,Customer_72,East,Office Supplies,Pen,2023-04-16,4,1102.91,4411.64
136,8196,Customer_40,North,Technology,Keyboard,2023-08-02,9,511.84,4606.56
137,2645,Customer_164,South,Office Supplies,Paper,2023-11-09,5,1181.89,5909.45
138,8112,Customer_53,North,Technology,Mouse,2023-07-21,8,731.43,5851.44
139,1536,Customer_90,East,Technology,Tablet,2023-10-21,9,141.55,1273.95
140,7490,Customer_17,West,Furniture,Bookcase,2023-12-30,2,579.6,1159.2
141,2990,Customer_180,South,Office Supplies,Binder,2023-12-10,6,215.78,1294.68
142,6588,Customer_49,East,Technology,Laptop,2023-12-03,6,268.02,1608.12
143,6182,Customer_189,West,Technology,Laptop,2023-02-18,4,500.48,2001.92
144,1951,Customer_62,West,Office Supplies,Paper,2023-06-07,7,515.01,3605.07
145,1768,Customer_78,East,Technology,Laptop,2023-06-24,8,707.01,5656.08
146,6797,Customer_179,East,Furniture,Chair,2023-05-12,6,531.71,3190.26
147,5873,Customer_110,South,Technology,Tablet,2023-03-28,7,1135.61,7949.27
148,1832,Customer_57,East,Office Supplies,Pen,2023-11-19,2,1041.06,2082.12
149,4310,Customer_67,East,Office Supplies,Binder,2023-04-07,8,129.41,1035.28
150,3538,Customer_144,West,Office Supplies,Envelope,2023-06-14,3,295.59,886.77
